stte_code,stte_name,ctry_code
AS,Aguascaliente,MX
BC,Baja California,MX
BS,Baja California Sur,MX
CC,Campeche,MX
CL,Coahuila Modificación,MX
CM,Colima,MX
CS,Chiapas,MX
CH,Chihuahua,MX
DF,Ciudad De México,MX
DG,Durango,MX
GT,Guanajuato,MX
GR,Guerrero,MX
HG,Hidalgo,MX
JC,Jalisco,MX
MC,Estado De Mexico,MX
MN,Michoacan,MX
MS,Morelos,MX
NT,Nayarit,MX
NL,Nuevo Leon,MX
OC,Oaxaca,MX
PL,Puebla,MX
QT,Queretaro,MX
QR,Quintana Roo,MX
SP,San Luis Potosi,MX
SL,Sinaloa,MX
SR,Sonora,MX
TC,Tabasco,MX
TS,Tamaulipas,MX
TL,Tlaxcala,MX
VZ,Tlaxcala,MX
YN,Yucatan,MX
ZS,Zacatecas,MX
AL,Alabama,US
AK,Alaska,US
AZ,Arizona,US
AR,Arkansas,US
CA,California,US
CO,Colorado,US
CT,Connecticut,US
DE,Delaware,US
DC,District Of Columbia,US
FL,Florida,US
GA,Georgia,US
HI,Hawaii,US
ID,Idaho,US
IL,Illinois,US
IN,Indiana,US
IA,Iowa,US
KS,Kansas,US
KY,Kentucky,US
LA,Louisiana,US
ME,Maine,US
MT,Montana,US
NE,Nebraska,US
NV,Nevada,US
NH,New Hampshire,US
NJ,New Jersey,US
NM,New Mexico,US
NY,New York,US
NC,North Carolina,US
ND,North Dakota,US
OH,Ohio,US
OK,Oklahoma,US
OR,Oregon,US
MD,Maryland,US
MA,Massachusetts,US
MI,Michigan,US
MN,Minnesota,US
MS,Mississippi,US
MO,Missouri,US
PA,Pennsylvania,US
RI,Rhode Island,US
SC,South Carolina,US
SD,South Dakota,US
TN,Tennessee,US
TX,Texas,US
UT,Utah,US
VT,Vermont,US
VA,Virginia,US
WA,Washington,US
WV,West Virginia,US
WI,Wisconsin,US
WY,Wyoming,US
AB,Alberta,CA
BC,British Columbia,CA
MB,Manitoba,CA
NB,New Brunswick,CA
NL,Newfoundland And Labrador,CA
NT,Northwest Territories,CA
NS,Nova Scotia,CA
NU,Nunavut,CA
ON,Ontario,CA
PE,Prince Edward Island,CA
QC,Quebec,CA
SK,Saskatchewan,CA
YT,Yukon,CA
SP,São Paulo,BR
PR,Paraná,BR
SC,Santa Catarina,BR
RS,Rio Grande Do Sul,BR
MS,Mato Grosso Do Sul,BR
RO,Rondônia,BR
AC,Acre,BR
AM,Amazonas,BR
RR,Roraima,BR
PA,Pará,BR
AP,Amapá,BR
TO,Tocantins,BR
MA,Maranhão,BR
RN,Rio Grande Do Norte,BR
PB,Paraíba,BR
PE,Pernambuco,BR
AL,Alagoas,BR
SE,Sergipe,BR
BA,Bahia,BR
MG,Minas Gerais,BR
RJ,Rio De Janeiro,BR
MT,Mato Grosso,BR
GO,Goiás,BR
DF,Distrito Federal,BR
PI,Piauí,BR
CE,Ceará,BR
ES,Espírito Santo,BR
